sales_id,order_id,product_id,price_per_unit,quantity,total_price,customer_id,payment,order_date,delivery_date,customer_name,gender,age,home_address,zip_code,city,state,country,product_type,product_name,size,colour,price,description
22,5,1,96,3,288,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53.0,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Shirt,Oxford Cloth,S,red,114,"A red coloured, S sized, Oxford Cloth Shirt"
23,5,830,117,3,351,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53.0,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Jacket,Shearling,XS,indigo,95,"A indigo coloured, XS sized, Shearling Jacket"
24,5,1209,105,3,315,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53.0,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Trousers,Pleated,XL,green,90,"A green coloured, XL sized, Pleated Trousers"
25,5,635,93,3,279,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53.0,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Jacket,Coach,XS,orange,115,"A orange coloured, XS sized, Coach Jacket"
26,5,639,93,3,279,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53.0,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Jacket,Coach,XL,orange,115,"A orange coloured, XL sized, Coach Jacket"
27,5,695,113,1,113,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53.0,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Jacket,Parka,XS,violet,119,"A violet coloured, XS sized, Parka Jacket"
28,6,38,104,2,208,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49.0,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,Shirt,Dress,L,red,119,"A red coloured, L sized, Dress Shirt"
29,6,473,118,2,236,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49.0,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,Jacket,Puffer,L,green,110,"A green coloured, L sized, Puffer Jacket"
30,6,242,106,1,106,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49.0,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,Shirt,Chambray,M,violet,105,"A violet coloured, M sized, Chambray Shirt"
31,6,804,91,2,182,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49.0,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,Jacket,Pullover,XL,violet,114,"A violet coloured, XL sized, Pullover Jacket"
32,7,850,113,2,226,626,37666,2021-04-05,2021-04-11,Tann Scothron,Genderqueer,64.0,72 Hunter Station StApt. 220,1807,Walterstad,New South Wales,Australia,Trousers,Chinos,XS,yellow,100,"A yellow coloured, XS sized, Chinos Trousers"
33,7,1162,99,3,297,626,37666,2021-04-05,2021-04-11,Tann Scothron,Genderqueer,64.0,72 Hunter Station StApt. 220,1807,Walterstad,New South Wales,Australia,Trousers,High-Waisted,M,orange,98,"A orange coloured, M sized, High-Waisted Trousers"
34,8,765,109,1,109,58,28484,2021-04-12,2021-05-01,Aurie Margett,Agender,39.0,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,Jacket,Peacoat,XS,violet,102,"A violet coloured, XS sized, Peacoat Jacket"
35,8,256,95,2,190,58,28484,2021-04-12,2021-05-01,Aurie Margett,Agender,39.0,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,Shirt,Polo,S,yellow,117,"A yellow coloured, S sized, Polo Shirt"
36,9,203,98,1,98,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67.0,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Shirt,Camp Collared,L,indigo,112,"A indigo coloured, L sized, Camp Collared Shirt"
37,9,486,118,2,236,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67.0,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Jacket,Puffer,S,violet,110,"A violet coloured, S sized, Puffer Jacket"
38,9,708,119,1,119,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67.0,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Jacket,Trench Coat,L,orange,112,"A orange coloured, L sized, Trench Coat Jacket"
39,9,1040,90,2,180,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67.0,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Trousers,Relaxed Leg,XS,indigo,95,"A indigo coloured, XS sized, Relaxed Leg Trousers"
40,9,917,96,3,288,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67.0,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Trousers,Drawstring,M,orange,104,"A orange coloured, M sized, Drawstring Trousers"
41,9,1061,93,2,186,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67.0,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Trousers,Joggers,S,yellow,94,"A yellow coloured, S sized, Joggers Trousers"
42,9,35,104,2,208,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67.0,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Shirt,Dress,XS,red,119,"A red coloured, XS sized, Dress Shirt"
43,10,325,109,3,327,659,21922,2021-10-15,2021-10-16,Ira Dafforne,Non-binary,57.0,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,Shirt,Mandarin Collar,XS,yellow,108,"A yellow coloured, XS sized, Mandarin Collar Shirt"
44,10,860,113,2,226,659,21922,2021-10-15,2021-10-16,Ira Dafforne,Non-binary,57.0,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,Trousers,Chinos,XS,blue,100,"A blue coloured, XS sized, Chinos Trousers"
45,10,426,107,3,321,659,21922,2021-10-15,2021-10-16,Ira Dafforne,Non-binary,57.0,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,Jacket,Denim,S,orange,92,"A orange coloured, S sized, Denim Jacket"
46,11,877,94,2,188,785,36624,2021-06-15,2021-06-30,Jillana Blankau,Genderfluid,54.0,82 Beahan BoulevardSuite 281,2683,Port Adamburgh,Northern Territory,Australia,Trousers,Cords,M,red,113,"A red coloured, M sized, Cords Trousers"
47,11,780,91,3,273,785,36624,2021-06-15,2021-06-30,Jillana Blankau,Genderfluid,54.0,82 Beahan BoulevardSuite 281,2683,Port Adamburgh,Northern Territory,Australia,Jacket,Pullover,XS,yellow,114,"A yellow coloured, XS sized, Pullover Jacket"
48,12,782,91,1,91,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60.0,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,Jacket,Pullover,M,yellow,114,"A yellow coloured, M sized, Pullover Jacket"
49,12,632,93,2,186,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60.0,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,Jacket,Coach,M,red,115,"A red coloured, M sized, Coach Jacket"
50,12,846,113,3,339,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60.0,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,Trousers,Chinos,S,orange,100,"A orange coloured, S sized, Chinos Trousers"
51,12,180,98,1,98,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60.0,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,Shirt,Camp Collared,XS,orange,112,"A orange coloured, XS sized, Camp Collared Shirt"
52,13,217,106,2,212,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60.0,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Shirt,Chambray,M,orange,105,"A orange coloured, M sized, Chambray Shirt"
53,13,95,118,3,354,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60.0,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Shirt,Flannel,XS,indigo,96,"A indigo coloured, XS sized, Flannel Shirt"
54,13,800,91,2,182,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60.0,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Jacket,Pullover,XS,violet,114,"A violet coloured, XS sized, Pullover Jacket"
55,13,835,117,1,117,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60.0,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Jacket,Shearling,XS,violet,95,"A violet coloured, XS sized, Shearling Jacket"
56,13,1249,112,2,224,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60.0,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Trousers,Tracksuit Bottoms,XL,blue,91,"A blue coloured, XL sized, Tracksuit Bottoms Trousers"
57,13,753,109,2,218,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60.0,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Jacket,Peacoat,L,green,102,"A green coloured, L sized, Peacoat Jacket"
58,13,114,92,3,276,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60.0,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Shirt,Denim,XL,orange,115,"A orange coloured, XL sized, Denim Shirt"
59,14,1202,105,2,210,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75.0,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,Trousers,Pleated,M,yellow,90,"A yellow coloured, M sized, Pleated Trousers"
60,14,227,106,3,318,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75.0,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,Shirt,Chambray,M,green,105,"A green coloured, M sized, Chambray Shirt"
61,14,108,92,2,184,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75.0,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,Shirt,Denim,L,red,115,"A red coloured, L sized, Denim Shirt"
62,14,91,118,3,354,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75.0,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,Shirt,Flannel,S,blue,96,"A blue coloured, S sized, Flannel Shirt"
63,14,909,94,2,188,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75.0,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,Trousers,Cords,XL,violet,113,"A violet coloured, XL sized, Cords Trousers"
64,15,699,113,3,339,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67.0,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,Jacket,Parka,XL,violet,119,"A violet coloured, XL sized, Parka Jacket"
65,15,1195,105,3,315,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67.0,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,Trousers,Pleated,XS,orange,90,"A orange coloured, XS sized, Pleated Trousers"
66,15,291,105,2,210,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67.0,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,Shirt,Cuban Collar,S,yellow,93,"A yellow coloured, S sized, Cuban Collar Shirt"
67,15,972,97,3,291,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67.0,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,Trousers,Slim-Fit,M,indigo,119,"A indigo coloured, M sized, Slim-Fit Trousers"
68,15,1212,105,2,210,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67.0,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,Trousers,Pleated,M,blue,90,"A blue coloured, M sized, Pleated Trousers"
69,16,7,96,3,288,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34.0,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Shirt,Oxford Cloth,M,orange,114,"A orange coloured, M sized, Oxford Cloth Shirt"
70,16,381,94,3,282,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34.0,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Shirt,Henley,S,violet,92,"A violet coloured, S sized, Henley Shirt"
71,16,17,96,2,192,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34.0,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Shirt,Oxford Cloth,M,green,114,"A green coloured, M sized, Oxford Cloth Shirt"
72,16,297,105,2,210,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34.0,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Shirt,Cuban Collar,M,green,93,"A green coloured, M sized, Cuban Collar Shirt"
73,16,28,96,1,96,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34.0,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Shirt,Oxford Cloth,L,indigo,114,"A indigo coloured, L sized, Oxford Cloth Shirt"
74,16,934,96,1,96,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34.0,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Trousers,Drawstring,XL,blue,104,"A blue coloured, XL sized, Drawstring Trousers"
75,16,324,109,3,327,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34.0,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Shirt,Mandarin Collar,XL,orange,108,"A orange coloured, XL sized, Mandarin Collar Shirt"
76,16,578,100,2,200,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34.0,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Jacket,Bomber,L,green,90,"A green coloured, L sized, Bomber Jacket"
77,16,273,95,1,95,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34.0,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Shirt,Polo,L,indigo,117,"A indigo coloured, L sized, Polo Shirt"
78,17,132,92,2,184,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45.0,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,Shirt,Denim,M,indigo,115,"A indigo coloured, M sized, Denim Shirt"
79,17,791,91,2,182,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45.0,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,Jacket,Pullover,S,blue,114,"A blue coloured, S sized, Pullover Jacket"
80,17,463,118,1,118,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45.0,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,Jacket,Puffer,L,orange,110,"A orange coloured, L sized, Puffer Jacket"
81,17,1066,93,2,186,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45.0,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,Trousers,Joggers,S,green,94,"A green coloured, S sized, Joggers Trousers"
82,18,35,104,1,104,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32.0,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Shirt,Dress,XS,red,119,"A red coloured, XS sized, Dress Shirt"
83,18,970,97,3,291,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32.0,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Trousers,Slim-Fit,XS,indigo,119,"A indigo coloured, XS sized, Slim-Fit Trousers"
84,18,285,105,1,105,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32.0,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Shirt,Cuban Collar,XS,orange,93,"A orange coloured, XS sized, Cuban Collar Shirt"
85,18,1110,115,3,345,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32.0,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Trousers,Cropped,XS,indigo,99,"A indigo coloured, XS sized, Cropped Trousers"
86,18,452,107,1,107,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32.0,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Jacket,Denim,M,violet,92,"A violet coloured, M sized, Denim Jacket"
87,19,71,118,1,118,513,56754,2021-08-30,2021-09-10,Corri Womack,Non-binary,39.0,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,Shirt,Flannel,S,red,96,"A red coloured, S sized, Flannel Shirt"
88,19,347,109,2,218,513,56754,2021-08-30,2021-09-10,Corri Womack,Non-binary,39.0,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,Shirt,Mandarin Collar,M,violet,108,"A violet coloured, M sized, Mandarin Collar Shirt"
89,19,316,109,2,218,513,56754,2021-08-30,2021-09-10,Corri Womack,Non-binary,39.0,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,Shirt,Mandarin Collar,S,red,108,"A red coloured, S sized, Mandarin Collar Shirt"
90,19,809,117,3,351,513,56754,2021-08-30,2021-09-10,Corri Womack,Non-binary,39.0,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,Jacket,Shearling,XL,red,95,"A red coloured, XL sized, Shearling Jacket"
91,19,682,113,3,339,513,56754,2021-08-30,2021-09-10,Corri Womack,Non-binary,39.0,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,Jacket,Parka,M,green,119,"A green coloured, M sized, Parka Jacket"
92,20,596,112,2,224,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36.0,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Jacket,Cardigan,S,red,118,"A red coloured, S sized, Cardigan Jacket"
93,20,85,118,3,354,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36.0,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Shirt,Flannel,XS,green,96,"A green coloured, XS sized, Flannel Shirt"
94,20,571,100,1,100,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36.0,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Jacket,Bomber,S,yellow,90,"A yellow coloured, S sized, Bomber Jacket"
95,20,1114,115,3,345,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36.0,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Trousers,Cropped,XL,indigo,99,"A indigo coloured, XL sized, Cropped Trousers"
96,20,514,102,3,306,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36.0,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Jacket,Windbreaker,XL,blue,109,"A blue coloured, XL sized, Windbreaker Jacket"
97,20,681,113,1,113,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36.0,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Jacket,Parka,S,green,119,"A green coloured, S sized, Parka Jacket"
98,20,1114,115,1,115,789,45129,2021-01-13,2021-01-20,Bone Perche,Genderqueer,36.0,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Trousers,Cropped,XL,indigo,99,"A indigo coloured, XL sized, Cropped Trousers"
99,21,7,96,1,96,124,11261,2021-04-04,2021-04-17,Pate De Ambrosis,Non-binary,54.0,65 Eli AvenueApt. 473,4983,Donnellyfort,New South Wales,Australia,Shirt,Oxford Cloth,M,orange,114,"A orange coloured, M sized, Oxford Cloth Shirt"
100,21,298,105,2,210,124,11261,2021-04-04,2021-04-17,Pate De Ambrosis,Non-binary,54.0,65 Eli AvenueApt. 473,4983,Donnellyfort,New South Wales,Australia,Shirt,Cuban Collar,L,green,93,"A green coloured, L sized, Cuban Collar Shirt"
101,21,906,94,2,188,124,11261,2021-04-04,2021-04-17,Pate De Ambrosis,Non-binary,54.0,65 Eli AvenueApt. 473,4983,Donnellyfort,New South Wales,Australia,Trousers,Cords,S,violet,113,"A violet coloured, S sized, Cords Trousers"
102,22,20,96,1,96,180,36088,2021-05-28,2021-06-09,Nelli Engall,Genderfluid,21.0,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia,Shirt,Oxford Cloth,XS,blue,114,"A blue coloured, XS sized, Oxford Cloth Shirt"
103,22,1040,90,2,180,180,36088,2021-05-28,2021-06-09,Nelli Engall,Genderfluid,21.0,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia,Trousers,Relaxed Leg,XS,indigo,95,"A indigo coloured, XS sized, Relaxed Leg Trousers"
104,22,134,92,1,92,180,36088,2021-05-28,2021-06-09,Nelli Engall,Genderfluid,21.0,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia,Shirt,Denim,XL,indigo,115,"A indigo coloured, XL sized, Denim Shirt"
105,22,172,91,2,182,180,36088,2021-05-28,2021-06-09,Nelli Engall,Genderfluid,21.0,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia,Shirt,Linen,M,violet,116,"A violet coloured, M sized, Linen Shirt"
106,22,321,109,3,327,180,36088,2021-05-28,2021-06-09,Nelli Engall,Genderfluid,21.0,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia,Shirt,Mandarin Collar,S,orange,108,"A orange coloured, S sized, Mandarin Collar Shirt"
107,22,912,96,1,96,180,36088,2021-05-28,2021-06-09,Nelli Engall,Genderfluid,21.0,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia,Trousers,Drawstring,M,red,104,"A red coloured, M sized, Drawstring Trousers"
108,23,238,106,2,212,652,45711,2021-05-17,2021-05-22,Roley Cassedy,Male,63.0,59 Abbott CircuitApt. 084,9830,North Isabelleside,South Australia,Australia,Shirt,Chambray,L,indigo,105,"A indigo coloured, L sized, Chambray Shirt"
109,23,809,117,3,351,652,45711,2021-05-17,2021-05-22,Roley Cassedy,Male,63.0,59 Abbott CircuitApt. 084,9830,North Isabelleside,South Australia,Australia,Jacket,Shearling,XL,red,95,"A red coloured, XL sized, Shearling Jacket"
